id,vps_ip,vps_name,timestamp,status,latency_ms,cpu_percent,ram_percent,disk_percent
29905,82.25.84.232,Hostinger,1771097344,UP,603.27,75.03,55.0,65.04
29904,194.163.160.139,Quitomotors,1771097343,UP,859.4,100.0,11.14,11.12
29899,147.93.179.212,1001Talleres,1771097342,UP,499.13,100.0,28.49,27.55
29900,154.38.191.168,Hyundai,1771097342,UP,1040.57,18.39,28.09,30.24
29901,62.84.187.169,Kia,1771097342,UP,929.25,100.0,27.79,33.84
29902,154.38.191.23,Autocom,1771097342,UP,685.1,100.0,28.8,26.9
29903,109.199.117.80,Armacar,1771097342,UP,1213.03,100.0,27.26,15.3
29897,192.168.100.33,IA LOCAL,1771097341,UP,136.06,0.03,2.2,18.32
29898,192.168.100.71,AGENTE C1 ,1771097341,UP,43.8,0.11,7.01,11.1
29888,82.25.84.232,Hostinger,1771097340,DOWN,,,,
29889,192.168.100.33,IA LOCAL,1771097340,DOWN,,,,
29890,147.93.179.212,1001Talleres,1771097340,DOWN,,,,
29891,154.38.191.168,Hyundai,1771097340,DOWN,,,,
29892,192.168.100.71,AGENTE C1 ,1771097340,DOWN,,,,
29893,109.199.117.80,Armacar,1771097340,DOWN,,,,
29894,62.84.187.169,Kia,1771097340,DOWN,,,,
29895,154.38.191.23,Autocom,1771097340,DOWN,,,,
29896,194.163.160.139,Quitomotors,1771097340,DOWN,,,,
29887,217.76.58.149,9rounds,1771097335,DOWN,,,,
29886,82.25.84.232,Hostinger,1771097318,UP,507.46,75.03,54.31,65.04
29880,147.93.179.212,1001Talleres,1771097317,UP,518.05,100.0,28.65,27.55
29881,154.38.191.168,Hyundai,1771097317,UP,652.75,18.39,28.03,30.24
29882,154.38.191.23,Autocom,1771097317,UP,695.6,100.0,28.82,26.9
29883,194.163.160.139,Quitomotors,1771097317,UP,728.76,100.0,11.15,11.12
29884,109.199.117.80,Armacar,1771097317,UP,834.69,100.0,27.58,15.3
29885,62.84.187.169,Kia,1771097317,UP,868.57,100.0,27.59,33.84
29878,192.168.100.71,AGENTE C1 ,1771097316,UP,66.52,0.11,7.0,11.1
29879,192.168.100.33,IA LOCAL,1771097316,UP,151.16,0.03,2.2,18.32
29877,217.76.58.149,9rounds,1771097313,DOWN,,,,
29873,194.163.160.139,Quitomotors,1771097297,UP,721.85,100.0,11.16,11.12
29874,109.199.117.80,Armacar,1771097297,UP,793.06,100.0,27.18,15.3
29875,62.84.187.169,Kia,1771097297,UP,844.31,100.0,27.64,33.84
29876,82.25.84.232,Hostinger,1771097297,UP,481.87,75.03,54.7,65.04
29868,192.168.100.33,IA LOCAL,1771097296,UP,137.01,0.03,2.2,18.32
29869,192.168.100.71,AGENTE C1 ,1771097296,UP,45.37,0.11,7.04,11.1
29870,154.38.191.168,Hyundai,1771097296,UP,660.52,18.39,28.3,30.24
29871,154.38.191.23,Autocom,1771097296,UP,589.35,100.0,28.87,26.9
29872,147.93.179.212,1001Talleres,1771097296,UP,465.08,100.0,28.55,27.55
29859,154.38.191.23,Autocom,1771097294,DOWN,,,,
29860,62.84.187.169,Kia,1771097294,DOWN,,,,
29861,147.93.179.212,1001Talleres,1771097294,DOWN,,,,
29862,192.168.100.71,AGENTE C1 ,1771097294,DOWN,,,,
29863,154.38.191.168,Hyundai,1771097294,DOWN,,,,
29864,192.168.100.33,IA LOCAL,1771097294,DOWN,,,,
29865,82.25.84.232,Hostinger,1771097294,DOWN,,,,
29866,194.163.160.139,Quitomotors,1771097294,DOWN,,,,
29867,109.199.117.80,Armacar,1771097294,DOWN,,,,
29858,217.76.58.149,9rounds,1771097289,DOWN,,,,
29854,194.163.160.139,Quitomotors,1771097271,UP,786.51,100.0,11.21,11.12
29855,62.84.187.169,Kia,1771097271,UP,912.54,100.0,27.59,33.84
29856,109.199.117.80,Armacar,1771097271,UP,928.05,100.0,27.14,15.3
29857,82.25.84.232,Hostinger,1771097271,UP,529.91,75.03,54.72,65.04
29849,192.168.100.71,AGENTE C1 ,1771097270,UP,63.74,0.11,7.05,11.1
29850,192.168.100.33,IA LOCAL,1771097270,UP,167.6,0.03,2.2,18.32
29851,147.93.179.212,1001Talleres,1771097270,UP,594.38,100.0,28.62,27.55
29852,154.38.191.23,Autocom,1771097270,UP,686.25,100.0,28.78,26.9
29853,154.38.191.168,Hyundai,1771097270,UP,746.54,18.39,27.99,30.24
29848,82.25.84.232,Hostinger,1771097259,UP,499.22,75.03,54.32,65.04
29845,62.84.187.169,Kia,1771097258,UP,781.82,100.0,27.67,33.84
29846,194.163.160.139,Quitomotors,1771097258,UP,740.1,100.0,11.19,11.12
29847,109.199.117.80,Armacar,1771097258,UP,809.41,100.0,27.27,15.3
29839,154.38.191.168,Hyundai,1771097257,UP,697.02,18.39,28.27,30.24
29840,192.168.100.33,IA LOCAL,1771097257,UP,153.23,0.03,2.2,18.32
29841,192.168.100.71,AGENTE C1 ,1771097257,UP,69.23,0.11,7.04,11.1
29842,147.93.179.212,1001Talleres,1771097257,UP,438.3,100.0,29.16,27.55
29843,217.76.58.149,9rounds,1771097257,UP,1884.91,100.0,29.54,22.52
